Areaname	STCOU	AGE010180D	AGE010190D	AGE010200D	AGE010210D	CLF010180D	CLF010190D	CLF010200D	CLF010210D	EDU600180D	EDU600190D	EDU600200D	EDU600210D	EDU640180D	EDU640190D	EDU640200D	EDU640210D	HIS020180D	HIS020190D	HIS020200D	HIS020210D	HSD130180D	HSD130190D	HSD130200D	HSD130210D	INC610180D	INC610190D	INC610200D	INC610210D	POP150180D	POP150190D	POP150200D	POP150210D	POP160180D	POP160190D	POP160200D	POP160210D	POP210180D	POP210190D	POP210200D	POP210210D	POP240180D	POP240190D	POP240200D	POP240210D	PVY020180D	PVY020190D	PVY020200D	PVY020210D
Colbert, AL	1033	54519	51666	54984	54428	24260	26750	26178	25085	32231	34311	37384	37843	11210	11110	12665	13356	183	147	539	1093	13095	12410	12584	11366	17664	27862	39294	51243	26246	24801	26311	26159	28273	26865	28673	28269	45209	42820	44825	43789	9146	8568	9137	8768	7869	7477	7592	7557
Conecuh, AL	1035	15884	14054	14089	13228	5707	6737	5526	4577	9036	8962	9230	8797	2569	2927	3518	3561	188	45	66	161	3314	2926	2763	2353	11880	21231	31424	34511	7562	6639	6667	6412	8322	7415	7422	6816	9311	8063	7806	6788	6534	5925	6136	6149	4642	4145	3719	3778
Coosa, AL	1037	11377	11063	12202	11539	4933	5413	5342	4328	6646	7184	8255	7740	2100	2403	3164	3496	43	0	44	230	2586	2469	2568	2373	12654	23472	36082	44923	5568	5431	6232	5727	5809	5632	5970	5812	7411	7242	7802	7648	3950	3782	4172	3582	2783	1984	1760	2090
Covington, AL	1039	36850	36478	37631	37765	16994	17704	17441	16235	22916	24090	25705	25284	6401	6962	8473	9050	301	99	382	483	8856	8440	8462	7803	13791	23257	33201	43092	17423	17245	17992	18288	19427	19233	19639	19477	31918	31551	32436	32022	4835	4777	4648	4716	7271	7971	6838	6567
Crenshaw, AL	1041	14110	13635	13665	13906	6023	6041	6167	6489	8472	8797	9268	9387	2062	2444	2689	3440	34	41	107	204	3108	2870	2828	2751	11021	21368	31724	44533	6709	6468	6464	6714	7401	7167	7201	7192	10372	10048	10088	10097	3693	3544	3388	3254	4160	3279	2964	2969
Cullman, AL	1043	61642	67613	77483	80406	32520	37460	39053	37808	36781	43909	51787	55091	11353	13529	16584	18709	308	168	1576	3454	15858	17165	18665	17603	14119	25856	39341	48427	30045	32851	38214	39719	31597	34762	39269	40687	60928	66744	75011	76133	528	560	743	856	10684	10214	9935	13112
Dale, AL	1045	47821	49633	49129	50251	20330	21020	20979	19916	24890	29258	31390	31168	8575	8199	9159	9576	1033	1152	1594	2821	10402	10818	10386	9802	14176	27585	37806	48432	24812	25057	24356	24825	23009	24576	24773	25426	38744	39365	36541	37236	7828	8847	10002	9679	7265	6971	7140	6494
Dallas, AL	1047	53981	48130	46365	43820	19280	21120	17926	15020	28837	28420	28742	26972	8590	8010	9646	9800	587	68	231	309	9360	7770	7214	5967	12817	20517	29906	33174	25101	21937	21092	20244	28880	26193	25273	23576	24205	20121	16496	12769	29488	27825	29332	30423	17165	17099	14243	13514
DeKalb, AL	1049	53658	54651	64452	71109	27120	31230	32653	29270	31948	35484	42740	45889	8936	10770	14549	15458	379	269	3449	9690	13547	13593	14944	15043	13901	24836	35801	41281	25991	26377	31508	35113	27667	28274	32944	35996	52538	52980	59652	60087	939	1028	1083	1078	10373	9382	9791	14165
Elmore, AL	1051	43390	49210	65874	79303	22311	26370	31327	35819	25043	31432	43177	51068	9169	10188	14576	18627	480	301	745	2129	9671	10628	13952	16018	17510	30853	47155	62048	21407	24899	33342	38689	21983	24311	32532	40614	33585	37850	50737	60455	9655	11039	13597	15900	7567	6643	6187	9245
Escambia, AL	1053	38440	35518	38440	38319	14860	16351	16241	14386	22023	22527	25510	25326	7230	7841	8860	9291	248	199	405	718	7960	7258	7386	6532	14113	22858	36086	42638	19057	17477	19475	19766	19383	18041	18965	18553	26056	24326	24754	23784	11376	10046	11837	12220	7741	9584	7579	7906
Etowah, AL	1055	103057	99840	103459	104430	46200	48560	48595	44377	61730	65672	69829	70407	20344	20194	22531	23112	458	380	1651	3447	24359	22956	22543	20703	16275	27071	38697	44685	49214	47261	49506	50626	53843	52579	53953	53804	88806	85274	85737	83823	13809	13799	15191	15796	16448	16242	15938	16422
Fayette, AL	1057	18809	17962	18495	17241	8414	8759	8345	6638	11238	11672	12579	12208	3322	3700	4404	4635	99	127	96	204	4597	4306	4293	3717	14664	26002	35291	43843	9068	8568	8935	8507	9741	9394	9560	8734	16378	15717	16075	14910	2396	2190	2207	1969	3387	3615	3144	2797
Franklin, AL	1059	28350	27814	31223	31704	13515	15970	14741	13080	17173	18292	20860	20632	5062	5640	6363	6889	112	95	2238	4710	7196	6930	7257	6569	14728	22755	34274	43003	13740	13294	15329	15828	14610	14520	15894	15876	26991	26463	28001	26320	1301	1249	1314	1228	4802	5691	5814	5559
Geneva, AL	1061	24253	23647	25764	26790	10997	12630	12294	10846	14473	15475	17588	17922	4500	4924	5626	6642	284	159	319	920	5855	5696	5907	5605	13105	24989	32563	39217	11750	11388	12529	13105	12503	12259	13235	13685	21019	20682	22442	23127	3082	2824	2743	2539	5029	4583	5010	4039
Greene, AL	1063	11021	10153	9974	9045	3743	3655	3536	3223	5805	5917	6204	5970	1281	1727	2165	2047	211	24	56	69	1695	1475	1430	1250	9917	15663	24604	35813	5079	4660	4681	4271	5942	5493	5293	4774	2405	1966	1904	1575	8596	8181	8013	7370	4988	4575	3391	2697
Hale, AL	1065	15604	15498	17185	15760	6143	7146	7033	6767	8424	9244	10591	11544	2007	2862	3803	4164	346	87	127	140	2699	2679	2925	2601	10368	18272	31875	38253	7361	7235	8110	7466	8243	8263	9075	8294	5774	6255	6844	6266	9799	9214	10131	9301	6073	5420	4531	4612
Henry, AL	1067	15302	15374	16310	17302	6798	6480	7708	6924	9013	9932	10967	11087	2379	2871	3192	4225	231	39	312	389	3365	3336	3516	3631	13952	27554	36555	45479	7242	7271	7754	8302	8060	8103	8556	9000	9473	9918	10710	11865	5799	5395	5268	4942	3467	2636	3070	2549
Houston, AL	1069	74632	81331	88787	101547	40430	42280	45633	45010	42780	51154	58671	64880	13980	15026	17809	20913	576	386	982	2995	16993	17692	18821	19616	16327	29818	42437	52613	35792	38632	42170	48740	38840	42699	46617	52807	57402	61513	64886	71053	16611	18954	21840	26176	12538	13275	13146	15259
Jackson, AL	1071	51407	47796	53926	53227	23450	25310	28156	26055	29555	30847	36435	36770	9042	9876	12707	13944	263	238	619	1339	12775	11849	12753	11780	15706	25772	38082	45042	25138	23071	26281	26139	26269	24725	27645	27088	48990	44696	49552	48348	2150	1968	2019	1781	8052	7901	7293	9244
Jefferson, AL	1073	671324	651525	662047	658466	307910	325120	332550	300697	401023	425708	434158	441789	132921	120393	121233	126919	4841	2628	10486	25488	141945	129641	121478	110228	18862	31609	45951	56971	314899	304259	312089	311813	356425	347266	349958	346653	444426	418317	384639	349166	223759	228521	260608	276525	101520	102276	95674	98494
Lamar, AL	1075	16453	15715	15904	14564	7614	7911	7498	5234	9791	10195	10758	10182	2988	3441	4036	4281	86	60	131	180	4040	3777	3789	3245	14958	25506	33050	43294	8019	7509	7680	7097	8434	8206	8224	7467	14457	13805	13816	12626	1975	1862	1906	1643	2964	2798	2521	2413
Lauderdale, AL	1077	80546	79661	87966	92709	37650	42660	43860	42928	46380	51436	58894	61204	15561	16585	20105	20478	483	252	819	2082	19401	19144	20150	19441	17585	29589	41437	49927	38662	37975	42081	44379	41884	41686	45885	48330	72375	71560	77743	80112	7845	7695	8663	9257	11633	11606	12442	15602
Lawrence, AL	1079	30170	31513	34803	34339	14995	15592	16731	15380	16676	19498	22894	23233	5396	7293	9029	9104	165	18	230	574	7030	7514	8186	7607	14689	25478	38565	48882	14764	15502	17066	16791	15406	16011	17737	17548	25013	24563	27067	26647	5074	4798	4648	3938	7066	6201	5271	4206
Lee, AL	1081	76283	87146	115092	140247	43020	46520	58646	64873	35970	45484	62170	68916	9860	11714	16576	18407	499	622	1944	4571	14065	15336	20159	23989	17176	32596	46781	57656	38230	43215	56630	69126	38053	43931	58462	71121	56869	64889	85247	100006	18652	20407	26071	31901	16837	20534	24119	25347
Limestone, AL	1083	46005	54135	65676	82782	26393	26807	33186	37944	26034	34872	43456	50490	8272	10620	14102	16959	217	182	1452	4591	10911	12794	14815	17923	16252	31739	45146	54242	22338	27077	33334	41910	23667	27058	32342	40872	39351	46658	55029	66506	6539	7127	8752	10429	7719	7325	7771	9104
Lowndes, AL	1085	13253	12658	13473	11299	4786	4318	5089	4673	6312	6942	8183	8059	1722	2199	2731	3208	216	77	109	87	2023	1892	2104	1744	9766	18535	28935	34581	6235	5865	6302	5289	7018	6793	7171	6010	3304	3185	3484	2859	9937	9456	9885	8310	5946	4858	4209	3240
Macon, AL	1087	26829	24928	24105	21452	9132	8489	9157	8926	13949	13759	13955	12710	3172	3195	3486	3670	264	45	164	232	3644	3119	2836	2429	11454	20096	28511	41884	12793	11547	11075	9826	14036	13381	13030	11626	4034	3443	3365	3319	22579	21340	20403	17729	7959	7812	7139	5434
Madison, AL	1089	196966	238912	276700	334811	127491	134807	150347	168778	110053	152864	180389	206313	34718	35243	39591	46203	2134	2860	5486	15404	43510	53195	58679	66176	19350	39264	54360	71043	96400	117724	135019	164320	100566	121188	141681	170491	154782	184197	199401	228280	39069	48116	63025	80376	26502	25289	28408	34509
Marengo, AL	1091	25047	23084	22539	21027	9740	10826	9095	7865	13756	14050	14326	13726	4241	4840	5351	5341	471	33	203	352	4765	4326	4247	3731	13356	23015	35475	38898	11905	10887	10569	9913	13142	12197	11970	11114	11663	11314	10657	9751	13346	11745	11655	10872	8295	6851	5805	5575
Marion, AL	1093	30041	29830	31214	30776	14277	15643	14309	11479	17924	19465	21611	20811	5194	5584	7107	7001	212	67	350	632	7707	7391	7417	6560	14228	22394	34359	42388	14632	14587	15451	15293	15409	15243	15763	15483	29250	28759	29579	28791	701	967	1134	1184	4783	5583	4731	5195
Marshall, AL	1095	65622	70832	82231	93019	34910	39510	40940	40462	39097	46678	54961	58036	11947	13615	16758	18008	450	346	4181	11238	16345	17403	18802	19132	14757	26135	38788	48179	31788	33905	40011	45843	33834	36927	42220	47176	64444	69361	76791	81464	1016	1087	1207	1494	10753	12072	11895	17638
Mobile, AL	1097	364980	378643	399843	412992	169353	192911	186720	186352	200918	232254	250122	260043	69871	75114	79822	89699	3944	3488	4414	9936	73504	73628	74335	70776	17354	27601	40378	48706	175266	179577	191044	198374	189714	199066	208799	214618	246693	254853	252199	248647	114787	117872	133465	142992	67626	79313	72549	75849
Monroe, AL	1099	22651	23968	24324	23068	10224	10597	10352	7981	12314	14228	15378	14882	4060	4478	5285	5881	178	49	107	220	4643	4845	4911	4329	14585	26413	34569	38352	10865	11577	11576	11109	11786	12391	12748	11959	12749	14320	14047	12718	9742	9372	9747	9614	5829	5386	5131	5626
Montgomery, AL	1101	197038	209085	223510	229363	99937	106900	106838	103278	110081	128365	141342	141528	34341	32844	34410	38036	1912	1578	2477	8314	37972	37973	37683	34713	17982	32351	44669	53599	92536	98558	106359	109167	104502	110527	117151	120196	117895	119420	109180	90656	77614	87312	108583	125477	37131	36044	36809	38126
Morgan, AL	1103	90231	100043	111064	119490	49960	53420	56833	55851	52269	64715	73331	77272	18311	19282	22252	24406	586	515	3621	9156	21575	23679	25040	24858	18276	32912	45827	54076	43836	48675	54451	58886	46395	51368	56613	60604	81131	89122	94485	95404	8816	10081	12485	14185	12345	11825	13476	17521
Perry, AL	1105	15012	12759	11861	10591	4814	4935	4120	3551	7858	7153	6978	6433	2016	1936	2119	2528	256	55	149	114	2550	1994	1752	1405	9983	16404	26150	28828	7026	5940	5410	4980	7986	6819	6451	5611	5971	4503	3660	3204	9019	8219	8111	7276	6418	5154	4026	2327
Pickens, AL	1107	21481	20699	20949	19746	8526	8959	8653	7787	12110	12963	13536	13065	3616	4465	5110	5537	154	9	82	313	4431	4179	4029	3554	12735	22474	32937	38147	10218	9660	9809	9428	11263	11039	11140	10318	12451	12002	11720	11110	8978	8645	8999	8211	5747	5905	5161	5084
Pike, AL	1109	28050	27595	29605	32899	12186	13373	14184	15635	14933	15717	17703	17363	3979	4406	5312	5945	224	127	303	730	5364	5052	5198	5035	12766	23735	34132	39319	13134	12930	13985	15700	14916	14665	15620	17199	18109	17814	17990	19144	9825	9548	10835	12054	7170	7043	6562	8437
Randolph, AL	1111	20075	19881	22380	22913	9189	9837	10059	9050	11847	12809	14762	15292	3192	3678	4723	5401	172	50	403	649	4563	4532	4853	4675	12614	23994	34684	44147	9573	9620	10810	11104	10502	10261	11570	11809	15173	15138	17094	17532	4869	4686	4977	4607	4618	3710	3695	4348
Russell, AL	1113	47356	46860	49756	52947	21478	24067	22217	21311	26790	29672	32107	33317	7656	9153	10594	11628	407	360	736	1946	9579	9045	8763	8438	13821	24642	34004	38199	22563	22392	23704	25287	24793	24468	26052	27660	28544	28473	28209	28449	18656	18088	20319	22135	11623	9440	9743	10717
St. Clair, AL	1115	41205	50009	64742	83593	23163	27304	31698	35916	23642	31921	43101	52678	7947	10492	14921	19533	250	108	424	1716	10025	12032	15166	18446	16374	27388	43152	56030	20259	25115	32652	41904	20946	24894	32090	41689	36935	45138	58288	73741	4128	4561	5263	7150	6376	7146	7584	8451
Shelby, AL	1117	66298	99358	143293	195085	52720	68430	83285	98375	36976	61938	94185	120551	11735	15884	21671	27134	522	504	2882	11567	16152	24095	34769	44236	20514	42549	64105	80946	32577	48635	70257	95557	33721	50723	73036	99528	58982	90715	128671	161943	6947	7718	10606	20732	8008	8922	8932	11594
Sumter, AL	1119	16908	16174	14798	13763	5942	6339	5406	4594	8546	8954	8731	8218	2314	2343	2719	3340	190	97	174	86	2707	2417	2093	1766	12106	17881	23176	25671	8013	7469	6795	6261	8895	8705	8003	7502	5150	4759	3836	3326	11711	11369	10827	10316	5508	6131	5611	5252
Talladega, AL	1121	73826	74107	80321	82291	33330	35420	35923	36232	40547	46091	53060	53902	12765	14713	18270	19633	760	281	597	1671	15793	15589	16061	15061	14806	25225	38004	44563	35411	35777	39285	40077	38415	38330	41036	42214	50922	50970	53830	53739	22745	22773	25339	26055	14973	14435	13501	14551
Tallapoosa, AL	1123	38676	38826	41475	41616	19052	20248	19544	17535	22959	25161	28373	28238	6899	7187	9348	9381	325	78	162	1042	8531	8507	8835	8214	14905	27247	38148	48366	18533	18262	19704	20190	20143	20564	21771	21426	28096	28493	30474	29087	10451	10212	10518	11083	6602	6116	6711	6959
Tuscaloosa, AL	1125	137541	150522	164875	194656	69320	76340	82536	88176	73683	88962	99039	104678	22955	24689	28115	31918	1050	943	2062	5949	26709	28653	30473	31696	17166	30135	45485	56157	66737	72645	79372	94400	70804	77877	85503	100256	99335	109398	112320	129004	37405	39377	48327	57611	26713	28300	26633	35104
Walker, AL	1127	68660	67670	70713	67023	29920	30340	31768	27712	40222	44020	47919	47871	12652	14080	16647	17106	424	179	668	1307	16472	16072	15979	13829	15817	25322	35221	45719	33283	32484	34117	32668	35377	35186	36596	34355	63547	63042	65163	61146	4839	4405	4364	3928	11150	11572	11478	11459
Washington, AL	1129	16821	16694	18097	17581	6537	6432	7784	6833	8971	9960	11240	11320	3036	3693	4904	4899	208	45	88	151	3651	3648	3964	3729	15623	23818	37881	50641	8248	8144	8869	8656	8573	8550	9228	8925	11280	10984	11759	11508	4726	4623	4867	4380	3929	4120	3329	3357
Wilcox, AL	1131	14755	13568	13183	11670	4202	3973	3959	3341	7574	7715	7979	7697	1852	2048	2414	2723	345	18	27	72	2390	2080	1903	1628	10679	15306	22200	26960	6933	6312	6142	5518	7822	7256	7041	6152	4590	4203	3626	3126	10151	9353	9479	8465	6628	6034	5133	4544
Winston, AL	1133	21953	22053	24843	24484	10386	12787	11758	9161	12943	14446	17078	16802	3837	4195	5855	5616	146	113	378	639	5578	5658	6026	5513	13793	22023	32628	37023	10726	10757	12166	12021	11227	11296	12677	12463	21818	21925	24177	23409	69	57	94	115	3957	4318	4196	5429
ALASKA	2000	401851	550043	626932	710231	270275	302996	319002	361331	211397	323429	379556	419058	82180	92925	105812	119547	9057	17904	25765	39249	80344	106079	116318	127558	28395	46581	59036	75493	213041	289867	324112	369628	188810	260176	302820	340603	309728	415492	434534	473576	13643	22451	21787	23263	41615	47906	57602	64038
Aleutians East, AK	2013	0	2464	2697	3141	1315	1578	938	1068	0	1531	2007	2241	0	481	983	576	0	212	334	385	0	286	232	235	0	47188	50625	60893	0	1582	1750	2093	0	882	947	1048	0	827	646	660	0	16	45	219	0	292	588	307
Aleutians West, AK	2016	7768	9478	5465	5561	3574	2395	2733	2910	3744	5467	4251	4338	1544	1767	1462	1565	228	669	582	726	1156	1270	559	508	20104	34020	72500	78750	4878	6238	3513	3723	2890	3240	1952	1838	4775	6360	2188	2004	329	662	165	332	743	662	642	543
Anchorage, AK	2020	174431	226338	260283	291826	122979	133215	140456	154432	93020	136655	159931	173024	36870	34504	38741	41213	5057	9372	14738	22061	36162	44884	48421	51992	30730	50098	63682	81348	90467	116367	131668	148209	83964	109971	128615	143617	148650	182736	188009	192498	9258	14544	15199	16226	12446	15614	18682	21466
Bethel, AK	2050	10999	13656	16006	17013	4069	5729	6386	7061	4812	6854	8026	8860	1059	2170	3098	3652	69	87	172	181	1572	1945	2123	2112	14712	25570	36250	56543	5813	7155	8500	8898	5186	6501	7506	8115	1661	2105	2006	1894	26	62	61	65	3397	4022	3234	3081
Bristol Bay, AK	2060	1094	1410	1258	997	477	563	922	1052	601	889	782	408	261	228	266	109	33	29	12	24	149	224	241	185	40236	57100	59868	74500	714	845	685	540	380	565	573	457	660	894	661	481	47	38	7	0	31	59	119	38
Denali, AK	2068	0	0	1893	1826	997	1139	1337	1382	0	0	1316	1187	0	0	400	365	0	0	56	42	0	0	380	395	0	0	70000	91875	0	0	1101	1002	0	0	792	824	0	0	1623	1637	0	0	27	10	0	0	141	68
Dillingham, AK	2070	4616	4012	4922	4847	1221	1648	1958	2107	2129	2159	2655	2755	615	687	900	960	4	24	107	101	775	691	781	677	20236	30365	45391	64931	2435	2076	2567	2541	2181	1936	2355	2306	1066	1019	1065	878	1	8	18	11	1044	984	1045	905
Fairbanks North Star, AK	2090	53983	77720	82840	97581	35812	41220	40952	46563	28062	43288	47974	56188	11660	12251	12240	15566	1499	2687	3486	5651	11272	15859	16274	18686	26927	41729	56478	76601	29035	41506	43217	51531	24948	36214	39623	46050	46106	63751	64439	75175	3006	5553	4843	4423	4830	5574	6206	7359
Haines, AK	2100	1680	2117	2392	2508	1091	1186	1394	1392	960	1393	1660	1753	375	377	517	534	27	34	31	47	383	468	535	543	23413	44141	50580	58906	887	1130	1211	1274	793	987	1181	1234	1430	1802	1974	2086	3	1	3	10	234	187	254	111
Hoonah-Angoon, AK	2105	3478	4385	0	2150	2522	2318	1824	1100	1873	2655	2273	1530	771	960	693	461	26	63	136	77	664	803	675	435	23693	43693	47946	51576	1838	2420	1848	1165	1640	1965	1588	985	1941	2649	1998	1014	5	7	5	8	449	390	438	237
Juneau, AK	2110	19528	26751	30711	31275	15201	16677	18004	18545	11229	16769	19899	20224	3819	4137	4370	5118	309	671	972	1588	3988	5275	5910	5816	35786	54088	70284	88429	10022	13575	15469	15950	9506	13176	15242	15325	16459	21570	22969	21814	142	292	248	279	793	1468	1797	2014
Kenai Peninsula, AK	2122	25282	40802	49691	55400	18903	21524	24539	27238	13694	24423	31388	34915	6004	8560	9990	12103	341	849	1051	1641	5569	8456	10218	11308	27378	48339	54106	69901	13389	21606	25853	29038	11893	19196	23838	26362	23099	37089	42841	46857	41	203	229	269	2935	3076	4861	5003
Ketchikan Gateway, AK	2130	11316	13828	14070	13477	7483	7750	8279	8216	6353	8551	8999	8661	2705	2648	2673	2745	225	377	312	538	2375	2761	2778	2436	30992	51716	59583	73288	5905	7217	7189	6911	5411	6611	6881	6566	9479	11316	10460	9176	46	55	70	78	819	566	900	1217
Kodiak Island, AK	2150	9939	13309	13913	13592	6344	7492	6524	6669	5224	7788	8187	7760	2013	2478	2564	2130	354	669	849	996	1913	2447	2639	2445	28351	47600	58834	64402	5544	7395	7362	7197	4395	5914	6551	6395	7046	9289	8304	7522	72	135	134	92	1006	703	901	1352
Lake and Peninsula, AK	2164	0	1668	1823	1631	444	590	1034	1076	0	904	981	694	0	307	385	221	0	36	20	43	0	279	285	249	0	26630	42312	54531	0	911	969	859	0	757	854	772	0	389	342	380	0	0	1	9	0	330	342	307
Matanuska-Susitna, AK	2170	17816	39683	59322	88995	17956	25457	28820	42616	9634	23440	35721	50586	3892	7855	11191	16701	170	779	1476	3301	3924	8373	12109	18003	25999	45252	56939	75052	9242	20605	30831	46040	8574	19078	28491	42955	16844	36949	51938	75540	90	307	411	856	2411	3661	6419	8300
Nome, AK	2180	6537	8288	9196	9492	3176	3390	3694	4100	3058	4351	4916	4989	843	1360	1871	2009	35	195	122	115	953	1081	1141	1094	16574	29795	44189	50449	3554	4480	4969	5058	2983	3808	4227	4434	1278	2023	1777	1552	22	9	35	27	1835	1809	1569	2013
North Slope, AK	2185	4199	5979	7385	9430	2818	3157	3396	5374	2068	3183	3883	3540	567	970	1361	1318	30	97	169	249	549	781	914	766	32113	53167	63810	68429	2383	3258	3910	5904	1816	2721	3475	3526	914	1274	1262	3147	22	41	53	94	446	506	663	984
Northwest Arctic, AK	2188	4831	6113	7208	7523	2112	2205	2939	3047	2077	2844	3498	3757	517	982	1414	1693	31	43	70	58	640	745	853	775	17750	33318	45230	54570	2594	3224	3847	4029	2237	2889	3361	3494	683	841	888	846	7	12	15	37	1291	1115	1243	1421
Petersburg, AK	2195	6167	7042	0	3815	3614	3734	3068	2803	3425	4359	4359	2687	1277	1512	1589	968	67	121	106	130	1325	1481	1406	789	27981	49083	54046	74798	3310	3776	3477	1982	2857	3266	3207	1833	4812	5544	4882	2711	9	11	15	15	397	395	525	382
Prince of Wales-Hyder, AK	2198	3822	6278	0	5559	2902	3306	2655	2453	1961	3726	3797	3628	816	1521	1561	1493	5	106	115	127	764	1167	1150	991	23472	42857	46944	49619	2141	3545	3350	3070	1681	2733	2796	2489	2080	3859	3265	2799	11	9	9	17	419	570	736	729
Sitka, AK	2220	7803	8588	8835	8881	4498	4592	4449	4684	4126	5225	5608	5849	1574	1606	1417	1603	141	152	289	437	1570	1708	1736	1614	32732	49327	62361	71068	4115	4504	4505	4481	3688	4084	4330	4400	5768	6359	6052	5798	44	39	28	47	361	398	668	577
Skagway, AK	2230	0	0	0	968	0	0	0	663	0	0	0	691	0	0	0	140	0	0	0	21	0	0	0	196	0	0	0	83036	0	0	0	500	0	0	0	468	0	0	0	885	0	0	0	0	0	0	0	98
Southeast Fairbanks, AK	2240	5676	5913	6174	7029	2242	2520	2261	3584	2777	3298	3693	4022	1274	1122	1296	1256	187	196	179	234	1189	1228	1221	1385	15471	32121	48208	59722	3166	3187	3194	3917	2510	2726	2980	3112	4473	4670	4877	5651	284	290	122	76	871	807	1140	756
Valdez-Cordova, AK	2261	8348	9952	10195	9636	5199	5366	5211	5232	4687	6282	6441	6141	1910	2006	1928	1542	141	339	283	349	1623	1896	2023	1874	31799	52929	60497	69383	4640	5471	5428	5143	3708	4481	4767	4493	6915	8247	7738	7127	58	57	33	46	975	865	990	772
Wade Hampton, AK	2270	4665	5791	7028	7459	1373	1916	2227	2690	1868	2494	3082	3413	368	806	1269	1459	6	13	29	7	654	729	759	722	12797	22215	29867	34960	2440	3007	3666	3944	2225	2784	3362	3515	296	346	333	201	3	12	4	1	1760	1794	1838	2388
Wrangell, AK	2275	0	0	0	2369	0	0	0	0	0	0	0	1409	0	0	0	585	0	0	0	37	0	0	0	497	0	0	0	52500	0	0	0	1242	0	0	0	1127	0	0	0	1719	0	0	0	4	0	0	0	210
Yakutat, AK	2282	0	0	808	662	0	304	370	308	0	0	522	259	0	0	174	94	0	0	6	17	0	0	102	102	0	0	51875	84375	0	0	479	360	0	0	329	302	0	0	407	281	0	0	1	2	0	0	107	14
Yukon-Koyukuk, AK	2290	7873	8478	6551	5588	1954	2029	2636	2968	4015	4901	3707	3549	1446	1630	1459	1368	72	84	63	66	1175	1242	853	728	14614	27432	33832	44891	4529	4787	3554	3027	3344	3691	2997	2561	3293	3584	1590	1243	117	88	6	10	2122	2059	1554	1386
ARIZONA	4000	2718215	3665228	5130632	6392017	1799758	2190700	2505306	3176155	1558891	2301177	3256184	4062351	535096	601440	791904	1040513	444102	680628	1295317	1895149	594827	747806	986303	1146036	19017	32178	46723	59231	1337942	1810691	2561057	3175823	1380273	1854537	2569575	3216194	2240761	2963186	3873611	4667121	74977	110524	158873	259008	351365	564362	698669	914040
Apache, AZ	4001	52108	61591	69423	71518	17480	20140	19004	23276	22275	29660	36217	38737	5549	7571	9008	12201	1853	2407	2912	4113	8057	8704	9839	9746	11872	16346	26315	35059	25556	30268	34403	35678	26552	31323	35020	35840	11902	12456	13536	16634	271	100	173	175	20675	28640	25798	25109
Cochise, AZ	4003	85686	97624	117755	131346	37110	43520	48557	64434	48096	61230	75774	83977	16715	16357	18670	20828	22848	27766	36193	42543	19193	20796	24193	25457	15484	26152	38005	52513	42614	49727	59357	66977	43072	47897	58398	64369	73261	79724	90269	103085	3224	5078	5321	5465	12393	18721	19772	19830
Coconino, AZ	4005	75008	96591	116320	134421	48520	59710	62496	76599	34435	50478	65976	70600	10457	11996	14279	16715	7286	9768	12692	18166	13669	16393	20108	21005	18156	30648	45873	58012	37555	48099	58061	66666	37453	48492	58259	67755	49235	61836	73381	82967	1275	1419	1215	1629	14141	20805	20609	21265
Gila, AZ	4007	37080	40216	51335	53597	15682	19244	20301	23770	21672	26996	35150	36100	8304	8648	10087	12292	7805	7417	8450	9588	8584	9391	11103	10694	16207	24877	36593	44173	18137	19648	25249	26633	18943	20568	26086	26964	30147	30776	39951	41162	88	99	197	233	5961	7234	8752	9794
Graham, AZ	4009	22862	26554	33489	37220	9072	12004	12249	15271	11784	14913	19302	20959	3820	4138	5811	6804	5470	6520	8990	11320	4513	4932	5789	5777	14871	21754	34417	47210	11694	13635	17728	19977	11168	12919	15761	17243	17085	20603	22473	26827	474	502	625	683	4132	6523	6952	6073
Greenlee, AZ	4011	11406	8008	8547	8437	3400	4790	3913	4089	5853	4743	5207	4823	2394	2034	1828	1733	5446	3425	3702	4040	2691	1778	1818	1579	22661	29945	43523	52166	5734	4051	4462	4398	5672	3957	4085	4039	9357	6835	6339	6514	18	28	44	89	1002	1010	842	1142
La Paz, AZ	4012	0	13844	19715	20489	5490	6495	7612	7774	0	8991	14389	15147	0	2836	4880	5369	0	3416	4426	4806	0	3053	4535	4346	0	18771	29141	36114	0	7096	10123	10550	0	6748	9592	9939	0	10335	14619	14306	0	118	155	129	0	3875	3798	3879
Maricopa, AZ	4013	1509052	2122101	3072149	3817117	1123113	1348326	1595030	1997744	880920	1344654	1934957	2444612	307465	342255	446445	594675	199517	340117	763333	1128741	334696	435109	584928	675057	20478	36078	51827	65242	739791	1045778	1536473	1888465	769261	1076323	1535676	1928652	1307455	1799420	2376359	2786781	48113	74257	114551	190519	156813	257359	355668	508722
Mohave, AZ	4015	55865	93497	155032	200186	44880	59810	68673	92454	36262	66039	109347	137205	15274	22389	38127	48238	2135	4637	16999	29569	15076	22679	34585	40832	15834	27010	36311	48056	27959	46561	77099	100078	27906	46936	77933	100108	53477	88834	139616	173878	99	303	833	1882	6207	13049	21252	29164
Navajo, AZ	4017	67629	77658	97470	107449	26690	32410	34215	42041	31202	40768	54215	64653	10009	11622	15036	18992	4732	5539	7808	11571	12564	13611	16666	17524	15469	21336	32409	43999	33571	38670	48427	53777	34058	38988	49043	53672	32543	34205	44752	52972	597	703	857	938	19963	26458	28054	26686
